donor_id,name,email,region_preference,sector_preference,behaviour_type,preferred_target,budget_cap
DNR0001,Christopher Hughes,jeffreymack@example.net,West Africa,Health,active,,
DNR0002,Joseph Ramos,luke74@example.net,East Africa,Education,passive,,
DNR0003,Philip Davis,justinwilliams@example.com,West Africa,Entrepreneurship,passive,,
DNR0004,James Harrison,scollins@example.net,North Africa,Health,passive,,
DNR0005,Alejandro Serrano,scottmichael@example.org,East Africa,Education,active,,
DNR0006,Anthony Miles,mary73@example.com,West Africa,Entrepreneurship,passive,,
DNR0007,Ann Hill,mitchelljacob@example.com,North Africa,Education,active,,
DNR0008,Patrick Roman,uprince@example.org,Southern Africa,Health,active,,
DNR0009,Mark Jones,brittany45@example.net,East Africa,Infrastructure,passive,,
DNR0010,Michael Lucas,cynthiaclark@example.org,East Africa,Education,selective,,
DNR0011,Ashley Anderson,zsmith@example.org,Southern Africa,Health,passive,,
DNR0012,Corey Avila,james95@example.org,West Africa,Agriculture,selective,,
DNR0013,Katie Hickman,zobrien@example.com,Southern Africa,Health,active,,
DNR0014,Willie Lee,bwashington@example.org,West Africa,Infrastructure,passive,,
DNR0015,Victoria Wilson,cynthiamalone@example.com,Southern Africa,Entrepreneurship,selective,,
DNR0016,Jennifer Ruiz,natalie32@example.com,Southern Africa,Entrepreneurship,passive,,
DNR0017,Alan Chavez,mahoneyjuan@example.org,West Africa,Health,active,,
DNR0018,Richard Huber,nelsoncharles@example.net,Southern Africa,Health,selective,,
DNR0019,Patrick Garcia,calebstewart@example.com,West Africa,Infrastructure,passive,,
DNR0020,Heather Arias,mia65@example.org,Southern Africa,Education,passive,,
DNR0021,Anthony Velazquez,barmstrong@example.org,East Africa,Agriculture,active,,
DNR0022,Nicole Burgess,lawrencejimmy@example.com,West Africa,Entrepreneurship,active,,
DNR0023,Sarah Pena,melissa71@example.org,East Africa,Education,active,,
DNR0024,Peter Flynn,harveychristina@example.net,Southern Africa,Entrepreneurship,passive,,
DNR0025,Kayla Stone,mgoodman@example.com,Southern Africa,Health,passive,,
DNR0026,William Holmes,jonesdavid@example.com,West Africa,Agriculture,active,,
DNR0027,Melissa Rodriguez,heatherjohnson@example.org,West Africa,Education,selective,,
DNR0028,Brian Little,robert54@example.net,Southern Africa,Education,active,,
DNR0029,Donald Turner,spencermeghan@example.org,North Africa,Infrastructure,passive,,
DNR0030,Breanna Smith,yhood@example.org,East Africa,Education,active,,
DNR0031,Ashley Ruiz,epalmer@example.net,Southern Africa,Entrepreneurship,active,,
DNR0032,Michael Thomas,beverly79@example.org,North Africa,Agriculture,passive,,
DNR0033,Jason Mcmahon,cmartin@example.net,East Africa,Entrepreneurship,active,,
DNR0034,Tracy Cook,erika36@example.org,West Africa,Health,passive,,
DNR0035,Tara Ortega,jessica42@example.net,East Africa,Infrastructure,active,,
DNR0036,Christy Stone,ahouse@example.com,North Africa,Infrastructure,active,,
DNR0037,Jacob Clark,zheath@example.org,North Africa,Entrepreneurship,passive,,
DNR0038,Wesley Hill,reedjennifer@example.net,West Africa,Health,active,,
DNR0039,Cody Rodriguez,callahanrachel@example.net,Southern Africa,Agriculture,passive,,
DNR0040,Megan Espinoza,josematthews@example.com,North Africa,Education,active,,
DNR0041,Adrian Andersen,amanda14@example.com,Southern Africa,Entrepreneurship,active,,
DNR0042,David Morales,ehess@example.com,West Africa,Agriculture,selective,,
DNR0043,Tyrone Powell,phillipsjennifer@example.org,East Africa,Education,passive,,
DNR0044,Ryan Hamilton,parsonspatrick@example.com,East Africa,Entrepreneurship,selective,,
DNR0045,Kyle Park,matthew06@example.org,West Africa,Entrepreneurship,passive,,
DNR0046,Gloria Espinoza,nicole00@example.net,West Africa,Health,selective,,
DNR0047,Diana Lawrence,redwards@example.net,Southern Africa,Education,passive,,
DNR0048,Luis Dudley,alara@example.org,West Africa,Health,active,,
DNR0049,Kristie Matthews,ashleyfrederick@example.org,West Africa,Entrepreneurship,active,,
DNR0050,Tiffany Roberts,ebullock@example.org,East Africa,Infrastructure,selective,,
DNR0051,Connie Barnes,villaheather@example.net,East Africa,Agriculture,active,,
DNR0052,Matthew Jackson,christophermcclure@example.org,North Africa,Education,selective,,
DNR0053,Nancy Watson,mark08@example.net,East Africa,Agriculture,passive,,
DNR0054,Hannah Guzman,codyarias@example.org,Southern Africa,Infrastructure,selective,,
DNR0055,Sandy Lopez,josephcarroll@example.com,North Africa,Health,passive,,
DNR0056,Clarence Choi,qsimon@example.org,West Africa,Agriculture,passive,,
DNR0057,Elizabeth Lucero,tonyaschneider@example.org,East Africa,Entrepreneurship,passive,,
DNR0058,Tracy Knapp,cshaffer@example.com,West Africa,Health,passive,,
DNR0059,Joseph Malone,hannahford@example.net,West Africa,Agriculture,passive,,
DNR0060,Emily Little,karen79@example.org,East Africa,Agriculture,active,,
DNR0061,David West,aconway@example.net,East Africa,Entrepreneurship,passive,,
DNR0062,Noah Jackson,popeadam@example.net,North Africa,Education,active,,
DNR0063,Joshua Young,ymoore@example.org,North Africa,Education,passive,,
DNR0064,Elizabeth Phillips,aguilaralexander@example.net,North Africa,Agriculture,active,,
DNR0065,Dr. Thomas King PhD,lambertjeremy@example.net,North Africa,Health,active,,
